label,domain,status,source,filename,note
Capital Group RetirementPartner,capitalgroup.retirementpartner.com,FAIL,none,,no logo found or blocked
Bank of America,bankofamerica.com,OK,favicon,bank-of-america.png,
Coinbase,coinbase.com,OK,favicon,coinbase.png,
Capital One,capitalone.com,FAIL,none,,no logo found or blocked
Chase,chase.com,OK,favicon,chase.jpg,
Citi,citi.com,OK,favicon,citi.png,
Credit Karma,creditkarma.com,OK,favicon,credit-karma.png,
CrossroadsUS ePayUB,crossroadsus.epayub.com,FAIL,none,,no logo found or blocked
E*TRADE,etrade.com,OK,favicon,e-trade.png,
Fidelity,fidelity.com,OK,favicon,fidelity.png,
ClickPay,clickpay.com,OK,favicon,clickpay.jpg,
Loring Ward Envestnet,loringward.envestnet.com,OK,favicon,loring-ward-envestnet.png,
Rocket Account,rocketaccount.com,OK,favicon,rocket-account.png,
Schwab,schwab.com,OK,favicon,schwab.png,
PayPal,paypal.com,OK,favicon,paypal.png,
Principal,principal.com,OK,favicon,principal.png,
Putnam,putnam.com,OK,favicon,putnam.png,
Spectrum,spectrum.net,OK,favicon,spectrum.png,
Vanguard,vanguard.com,OK,favicon,vanguard.jpg,
